what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323446646607
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1323446648665
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1323446649139
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1323446649294
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1323446650308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323446655622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323446669666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323446677396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323446694400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1323446694410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323446697407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323446802072
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323446803969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323446813028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323453134484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323453148260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323453154078
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1323453154359
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1323453154468
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1323453154468
error,log,,,"Part already exists in page layout: org.eclipse.ui.navigator.ProjectExplorer.",1323453154499
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1323453154608
opened,view,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.PackageExplorer",1323453155076
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1323453155247
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323453155364
activated,perspective,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.JavaPerspective",1323453155430
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323453155553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1323453155580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1323453155580
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1323453155887
error,log,,,"Exception in Decorator. The 'Google APIs' decorator will be disabled.",1323453155889
error,log,,,"org.eclipse.wst.jsdt.internal.ui.packageview.HierarchicalDecorationContext cannot be cast to org.eclipse.jface.viewers.DecorationContext",1323453155891
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1323453155892
error,log,,,"Exception in Decorator. The 'Google APIs Update Notification' decorator will be disabled.",1323453155894
error,log,,,"org.eclipse.wst.jsdt.internal.ui.packageview.HierarchicalDecorationContext cannot be cast to org.eclipse.jface.viewers.DecorationContext",1323453155895
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323453159497
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323453160543
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323453160544
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323453160573
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323453160586
activated,view,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.PackageExplorer",1323453162631
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1323453171742
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1323453171757
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1323453172335
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1323453172381
